cp,id_estado,id_municipio
22420,2,31
22424,2,31
22425,2,31
22426,2,31
22427,2,31
22430,2,31
22434,2,31
22435,2,31
22436,2,31
22439,2,31
22440,2,31
22444,2,31
22446,2,31
22450,2,31
22454,2,31
22455,2,31
22456,2,31
22457,2,31
22460,2,31
22464,2,31
22465,2,31
22470,2,31
22473,2,31
22474,2,31
22476,2,31
22500,2,31
22504,2,31
22505,2,31
22506,2,31
22510,2,31
22515,2,31
22516,2,31
22517,2,31
22520,2,31
22523,2,31
22524,2,31
22525,2,31
22526,2,31
22530,2,31
22534,2,31
22535,2,31
22536,2,31
22537,2,31
22540,2,31
22544,2,31
22545,2,31
22550,2,31
22555,2,31
22557,2,31
22560,2,31
22564,2,31
22565,2,31
22566,2,31
22567,2,31
22600,2,31
22604,2,31
22605,2,31
22606,2,31
22607,2,31
22610,2,31
22614,2,31
22615,2,31
22616,2,31
22620,2,31
22624,2,31
22625,2,31
22626,2,31
22630,2,31
22634,2,31
22635,2,31
22636,2,31
22637,2,31
22640,2,31
22643,2,31
22644,2,31
22645,2,31
22646,2,31
22647,2,31
22650,2,31
22654,2,31
22660,2,31
22663,2,31
22664,2,31
22665,2,31
22666,2,31
22667,2,31
22700,2,32
22703,2,32
22704,2,32
22705,2,32
22706,2,32
22707,2,32
22710,2,32
22713,2,32
22715,2,32
22716,2,32
22717,2,32
22740,2,32
22744,2,32
22745,2,32
22746,2,32
22750,2,33
22753,2,33
22755,2,33
22756,2,33
22758,2,33
22760,2,33
22762,2,33
22765,2,33
22766,2,33
22767,2,33
22770,2,33
22771,2,33
22785,2,33
22790,2,33
22793,2,33
22794,2,33
22795,2,33
22796,2,33
22797,2,33
22798,2,33
22800,2,33
22810,2,33
22812,2,33
22813,2,33
22814,2,33
22818,2,33
22819,2,33
22820,2,33
22822,2,33
22823,2,33
22830,2,33
22835,2,33
22839,2,33
22840,2,33
22842,2,33
22847,2,33
22850,2,33
22852,2,33
22855,2,33
22859,2,33
22860,2,33
22863,2,33
22870,2,33
22873,2,33
22879,2,33
22880,2,33
22888,2,33
22889,2,33
22890,2,33
22895,2,33
22896,2,33
22897,2,33
22898,2,33
22900,2,33
22903,2,33
22904,2,33
22905,2,33
22906,2,33
22908,2,33
22909,2,33
22910,2,34
22914,2,34
22915,2,34
22920,2,34
22925,2,34
22930,2,34
22934,2,34
22937,2,34
22940,2,34
22943,2,34
22950,2,34
22951,2,34
22952,2,34
22955,2,34
22960,2,34
22964,2,34
22965,2,34
22967,2,34
22970,2,34
22973,2,34
22974,2,34
22980,2,34
22993,2,34
22994,2,34
22995,2,34
22997,2,34
23000,3,35
23007,3,35
23009,3,35
23010,3,35
23017,3,35
23018,3,35
23019,3,35
23020,3,35
23026,3,35
23029,3,35
23030,3,35
23034,3,35
23037,3,35
23038,3,35
23039,3,35
23040,3,35
23050,3,35
23052,3,35
23054,3,35
23055,3,35
23056,3,35
23060,3,35
23070,3,35
23075,3,35
23076,3,35
23077,3,35
23078,3,35
